"국가(1)",국가(2),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"유럽",산마리노,0.900,4.300,-1.000,2.600,3.300,1.000,2.500,2.200,0.300,-13.900,-6.300,-13.800,-11.100,-3.500,-1.300,-6.700,1.700,0.000,0.400,1.700,-7.000,14.500,9.400,1.500
"유럽",세르비아,6.700,7.500,6.900,4.700,9.400,5.900,5.500,6.800,6.100,-2.400,1.100,2.500,-0.100,3.600,-0.900,2.500,4.100,2.900,5.300,5.100,-0.100,8.900,3.200,2.800
"유럽",슬로바키아,0.800,2.900,4.500,4.900,5.400,6.500,8.900,10.800,5.300,-5.600,6.700,2.400,1.400,0.600,2.600,5.100,1.800,2.700,3.900,2.100,-2.700,6.000,-0.100,0.600
"유럽",슬로베니아,3.200,2.700,3.200,3.100,4.500,3.700,5.600,6.600,2.800,-8.100,0.700,0.400,-3.100,-1.000,2.700,2.300,3.000,5.100,4.000,2.800,-5.000,7.800,2.600,2.000
"유럽",스페인,4.700,3.400,1.500,1.100,1.400,1.800,2.300,1.700,-0.800,-4.600,-0.300,-1.000,-2.900,-1.100,1.800,4.100,2.800,2.600,1.900,1.200,-11.400,6.600,6.000,2.500
"유럽",스웨덴,4.500,1.100,1.900,1.500,3.800,2.400,4.100,2.500,-1.700,-5.100,4.900,2.400,-1.100,0.300,1.300,3.300,1.100,0.500,0.700,1.500,-2.700,5.300,0.800,-0.900
"유럽",스위스,3.400,1.000,-0.800,-0.800,2.000,2.100,3.400,3.000,1.500,-3.500,2.100,0.700,0.100,0.600,1.100,0.500,1.000,0.400,2.100,0.400,-2.900,4.800,2.000,-0.200
"유럽",우크라이나,6.800,10.200,6.200,10.400,12.600,3.900,8.300,8.700,2.800,-14.800,0.600,5.800,0.500,0.200,-6.200,-9.400,2.800,2.800,4.000,3.800,-3.200,4.300,-23.100,14.600
"유럽",영국,4.000,2.200,1.400,2.700,1.900,2.000,1.600,1.800,-1.000,-5.400,1.400,0.300,0.800,1.100,2.400,1.400,1.100,1.900,0.800,1.100,-10.600,8.100,4.100,-0.400
"아프리카",알제리,2.400,1.600,4.200,5.800,2.900,4.400,0.100,1.700,0.600,-0.300,1.600,0.900,1.400,0.700,1.700,1.600,1.100,-0.700,-0.700,3.600,-2.600,6.300,2.000,2.500
